"X"	"A"	"D_lact_liv"	"D_imm_liv"	"F_risk"	"O_factor"	"clin_frac"	"log.density"
"10113"	10113	0.353239712709954	11.2962000815992	39.8908276716804	0.12896358783874	0.642774617912642	0.362927237168575	-32.100563853932
"10116"	10116	0.314841587198306	8.56932361634997	51.5790723236242	0.329724922680355	0.302052547888893	0.116419588441319	-31.8559753911037
"10119"	10119	0.311121103114773	8.43827063149231	47.5387417331816	0.223909677992622	0.673216076451405	0.111174208836489	-31.9800786107859
"10122"	10122	0.311121103114773	8.43827063149231	47.5387417331816	0.223909677992622	0.673216076451405	0.111174208836489	-31.9800786107859
"10125"	10125	0.311121103114773	8.43827063149231	47.5387417331816	0.223909677992622	0.673216076451405	0.111174208836489	-31.9800786107859
"10128"	10128	0.356186688638972	8.34443790433141	41.0472830031327	0.22126251856953	0.429248839604473	0.179898220527396	-31.6304474994866
"10131"	10131	0.356186688638972	8.34443790433141	41.0472830031327	0.22126251856953	0.429248839604473	0.179898220527396	-31.6304474994866
"10134"	10134	0.356186688638972	8.34443790433141	41.0472830031327	0.22126251856953	0.429248839604473	0.179898220527396	-31.6304474994866
"10137"	10137	0.361751070580026	7.97797218281771	41.2913126688347	0.192984268814423	0.117978076127552	0.0971950571104597	-34.7505042389819
"10140"	10140	0.335174463307829	10.3867407472943	45.9515667610882	0.246115090946659	0.418026802561431	0.0603402279585808	-33.5929847180826
"10143"	10143	0.302627049062386	7.32159418143304	51.1379707223457	0.178085317109218	0.00222694948999214	0.377389140150523	-32.4101993218258
"10146"	10146	0.324143729311828	9.03264278918642	43.9778879688893	0.146094612312721	0.282018975110686	0.567878017025197	-32.415886227446
"10149"	10149	0.314796965934434	9.12928306326944	41.2203586069172	0.152631189675285	0.195080462970761	0.622459878407909	-32.4381313035582
"10152"	10152	0.371874926825233	11.8868648236707	38.3671347617066	0.175093886395069	0.578638474018253	0.349523172264711	-31.7806371979013
"10155"	10155	0.371874926825233	11.8868648236707	38.3671347617066	0.175093886395069	0.578638474018253	0.349523172264711	-31.7806371979013
"10158"	10158	0.378675203648331	11.4232078725908	47.66752092449	0.211346848530374	0.271661751471503	0.316682010388372	-31.6855698530086
"10161"	10161	0.378675203648331	11.4232078725908	47.66752092449	0.211346848530374	0.271661751471503	0.316682010388372	-31.6855698530086
"10164"	10164	0.378675203648331	11.4232078725908	47.66752092449	0.211346848530374	0.271661751471503	0.316682010388372	-31.6855698530086
"10167"	10167	0.367242375205824	10.406852925986	38.5386997358409	0.388635730536947	0.163631148861143	0.17349129434135	-31.0554268943172
"10170"	10170	0.367242375205824	10.406852925986	38.5386997358409	0.388635730536947	0.163631148861143	0.17349129434135	-31.0554268943172
"10173"	10173	0.34138406774117	10.2961860413881	37.9863060181612	0.124668927259617	0.202954456359627	0.781853551279442	-32.6262045554528
"10176"	10176	0.361442924761811	11.1022058417839	40.8768673247524	0.373686578671847	0.197055788886664	0.464458147900079	-32.4708729926865
"10179"	10179	0.360068146002507	11.9816060053864	54.8774550849208	0.412797469250846	0.10837597604764	0.36225480411669	-31.9000513713712
"10182"	10182	0.360068146002507	11.9816060053864	54.8774550849208	0.412797469250846	0.10837597604764	0.36225480411669	-31.9000513713712
"10185"	10185	0.345696571691885	9.56700650402586	51.4530931800818	0.230917183905702	0.10281822014575	0.539832365693402	-31.9657996662332
