month,soil,air2m,rh
01/02/2015,36.04086935,27.92862574,0.219820395
01/03/2015,31.59841951,26.21012729,0.320431359
01/04/2015,25.49461608,21.47835972,0.330836521
01/05/2015,23.50802031,21.02893868,0.24768626
01/06/2015,14.77954006,14.11282479,0.426833297
01/07/2015,14.78987614,13.87779485,0.402220958
01/08/2015,20.36722825,19.12426956,0.252632219
01/09/2015,25.19073514,21.26186261,0.2688626
01/10/2015,34.46702796,28.19356092,0.149500969
01/11/2015,34.68132948,26.16632242,0.151079525
01/12/2015,40.93190534,31.45365358,0.142111018
01/01/2016,36.73476527,29.30974252,0.291174295
01/02/2016,36.42399361,29.54182405,0.238018756
01/03/2016,31.38825242,26.18527645,0.302129931
01/04/2016,26.09410907,23.18211616,0.331824943
01/05/2016,20.06265825,18.77130345,0.393931478
01/06/2016,17.01213467,16.15480531,0.370901982
01/07/2016,15.56646075,14.15915686,0.347914024
01/08/2016,19.72639091,18.70643856,0.232424975
01/09/2016,26.47172076,20.81833838,0.218804007
01/10/2016,32.75812838,24.87492138,0.149742308
01/11/2016,36.94355421,28.09163038,0.17834353
01/12/2016,40.35308451,30.72371294,0.172608825
01/01/2017,33.27424361,26.96281276,0.334196357
01/02/2017,31.7210744,26.69324438,0.444933561
01/03/2017,33.20602545,27.0592677,0.262134194
01/04/2017,26.50479623,22.92855339,0.326934995
01/05/2017,22.28284956,20.16758345,0.316480704
01/06/2017,17.78596299,16.36456321,0.333845653
01/07/2017,17.53169527,16.09499482,0.269092083
01/08/2017,20.04818772,17.11050948,0.237810433
01/09/2017,28.73532363,24.00303613,0.169158025
01/10/2017,28.97167547,22.75754595,0.222849948
01/11/2017,34.91423596,26.58541702,0.159604741
01/12/2017,37.38456056,28.55874184,0.190196347
01/01/2018,37.64916436,29.55951447,0.226335082
01/02/2018,34.09010535,27.53480318,0.328295862
01/03/2018,30.97343083,25.21904227,0.322992234
01/04/2018,24.1026898,21.87892149,0.438307856
01/05/2018,21.00462023,18.93093848,0.359459354
01/06/2018,17.10378131,16.0107547,0.332148885
01/07/2018,16.46225489,15.64094058,0.340197695
01/08/2018,18.61147174,15.36800259,0.257971941
01/09/2018,24.28598306,19.35045428,0.191331599
01/10/2018,32.9324637,25.85126437,0.170196315
01/11/2018,36.49358993,27.69275341,0.134346878
01/12/2018,39.82732226,30.22627503,0.16002294
01/01/2019,39.4841642,30.25323187,0.178907812
01/02/2019,34.78675756,28.39321001,0.297690295
01/03/2019,33.70284666,27.85449444,0.295378462
01/04/2019,25.93768964,22.23736321,0.357531137
01/05/2019,22.45856302,21.15108685,0.309642644
01/06/2019,17.92515562,16.79882103,0.302392446
01/07/2019,17.70878688,16.61349277,0.276189314
01/08/2019,22.44133621,19.18871325,0.192010149
01/09/2019,28.54789594,23.72293773,0.16055243
01/10/2019,33.38931871,25.21693627,0.147661114
01/11/2019,38.08121277,29.12104465,0.131880415
01/12/2019,36.19591064,27.52974877,0.227211993
01/01/2020,35.77764369,28.76555134,0.291789791
01/02/2020,33.06200931,27.55586321,0.387322944
01/03/2020,30.35740009,25.80745951,0.374327295
01/04/2020,25.04120643,21.30398267,0.393781106
01/05/2020,21.72401183,19.60528064,0.282538361
01/06/2020,17.08793264,15.80520881,0.307494515
01/07/2020,16.77095933,16.08278001,0.239636051
01/08/2020,18.96496589,15.49983837,0.243687729
01/09/2020,26.33459535,21.54490942,0.197774816
01/10/2020,32.8049853,26.28383739,0.188054889
01/11/2020,31.71969625,25.46712942,0.279855001
01/12/2020,34.54075871,28.15860127,0.275397496
01/01/2021,31.89265343,27.10307256,0.402588922
01/02/2021,33.78553534,26.59889544,0.345190011
01/03/2021,30.49659272,25.5218855,0.334587727
01/04/2021,28.84626429,24.6790631,0.286206558
01/05/2021,21.12176254,18.90608764,0.328152397
01/06/2021,17.45796453,16.51493183,0.352698446
01/07/2021,15.23915136,13.9106485,0.285228419
01/08/2021,18.74377365,16.55789429,0.255633028
01/09/2021,26.6054008,22.24789322,0.199579099
01/10/2021,28.5713244,22.62992217,0.227351189
01/11/2021,32.14692115,24.33915421,0.226306135
01/12/2021,32.14692115,24.33915421,0.226306135
